Time [s],MOSI,MISO
2.688425417, 0x00, 0x4E
2.688484833, 0x00, 0x00
2.688544167, 0x00, 0x80
2.6886035, 0x00, 0xFF
2.688662833, 0x00, 0xFF
2.688736583, 0x00, 0xFF
2.688795917, 0x00, 0xFF
2.688855333, 0x00, 0xFF
2.68891475, 0x00, 0xFF
2.688974167, 0x00, 0xFF
2.689144333, 0x00, 0x9C
2.690475667, 0x00, 0xA5
2.690598667, 0x09, 0xFF
2.690662, 0x4E, 0xFF
2.6907285, 0x00, 0xFF
2.690794917, 0x00, 0xFF
2.690861333, 0xF6, 0xFF
2.690927833, 0x01, 0xFF
2.69099425, 0x09, 0xFF
2.691061, 0x64, 0xFF
2.691128, 0x00, 0xFF
2.691195083, 0xFF, 0xFF
2.691262083, 0xFF, 0xFF
2.691330167, 0x78, 0xFF
2.692565667, 0x00, 0xA5
2.692687417, 0x09, 0xFF
2.69275075, 0x4E, 0xFF
2.692817167, 0x00, 0xFF
2.692883667, 0x00, 0xFF
2.692950083, 0xF6, 0xFF
2.693016583, 0x01, 0xFF
2.693083, 0x09, 0xFF
2.693149667, 0x64, 0xFF
2.69321675, 0x00, 0xFF
2.69328375, 0xFF, 0xFF
2.69335075, 0xFF, 0xFF
2.693418917, 0x78, 0xFF
2.933551417, 0x00, 0xA4
2.933606583, 0x00, 0x03
2.933663917, 0x00, 0x40
2.933752667, 0x00, 0x00
2.933812083, 0x00, 0x01
2.933871417, 0x00, 0x03
2.933930667, 0x00, 0xE5
2.935607, 0x00, 0xA5
2.935678917, 0x09, 0xFF
2.935753167, 0x4F, 0xFF
2.935811083, 0x00, 0xFF
2.936018917, 0x04, 0xFF
2.93607675, 0x11, 0xFF
2.936391333, 0x11, 0xFF
2.93644925, 0xF0, 0xFF
2.936507167, 0xF0, 0xFF
2.936724083, 0xFF, 0xFF
2.936782, 0xFF, 0xFF
2.936839833, 0xFF, 0xFF
2.936898917, 0x18, 0xFF
2.9376565, 0x00, 0xA4
2.937711833, 0x00, 0x09
2.937777917, 0x00, 0x4E
2.937837333, 0x00, 0x00
2.93789675, 0x00, 0x80
2.937956083, 0x00, 0xFF
2.9380155, 0x00, 0xFF
2.938074917, 0x00, 0xFF
2.938212083, 0x00, 0xFF
2.938271333, 0x00, 0xFF
2.93833075, 0x00, 0xFF
2.938390083, 0x00, 0xFF
2.938449333, 0x00, 0x9C
3.187352167, 0x00, 0xA4
3.1874075, 0x00, 0x03
3.187464833, 0x00, 0x40
3.18752425, 0x00, 0x00
3.187583667, 0x00, 0x01
3.187642917, 0x00, 0x05
3.187702167, 0x00, 0xE3
3.188632083, 0x00, 0xA5
3.188703917, 0x09, 0xFF
3.188789, 0x4E, 0xFF
3.188846917, 0x00, 0xFF
3.188904833, 0x00, 0xFF
3.188962667, 0xF5, 0xFF
3.189020583, 0x01, 0xFF
3.18914375, 0x09, 0xFF
3.189201667, 0x64, 0xFF
3.1892595, 0x00, 0xFF
3.189317417, 0xFF, 0xFF
3.189375333, 0xFF, 0xFF
3.189434333, 0x7B, 0xFF
3.195716667, 0x00, 0xA4
3.1957805, 0x00, 0x09
3.1958465, 0x00, 0x4E
3.195914417, 0x00, 0x00
3.19598075, 0x00, 0x80
3.196048667, 0x00, 0xFF
3.196116583, 0x00, 0xFF
3.196183333, 0x00, 0xFF
3.196251833, 0x00, 0xFF
3.196318667, 0x00, 0xFF
3.196385583, 0x00, 0xFF
3.196454083, 0x00, 0xFF
3.1965225, 0x00, 0x9C
3.2018525, 0x00, 0xA5
3.201975, 0x09, 0xFF
3.202038333, 0x4E, 0xFF
3.202104833, 0x00, 0xFF
3.20217125, 0x00, 0xFF
3.20223775, 0xF5, 0xFF
3.202304167, 0x01, 0xFF
3.202370583, 0x09, 0xFF
3.202437333, 0x64, 0xFF
3.202504333, 0x00, 0xFF
3.202571333, 0xFF, 0xFF
3.202638333, 0xFF, 0xFF
3.2027065, 0x7B, 0xFF
3.4380695, 0x00, 0xA4
3.43812475, 0x00, 0x03
3.438182167, 0x00, 0x40
3.4382415, 0x00, 0x00
3.438300917, 0x00, 0x01
3.438373333, 0x00, 0x03
3.438432583, 0x00, 0xE5
3.4391635, 0x00, 0xA4
3.43921875, 0x00, 0x09
3.439276083, 0x00, 0x4E
3.4393355, 0x00, 0x00
3.439394917, 0x00, 0x80
3.439454167, 0x00, 0xFF
3.439513583, 0x00, 0xFF
3.439572917, 0x00, 0xFF
3.439632333, 0x00, 0xFF
3.43969175, 0x00, 0xFF
3.439881667, 0x00, 0xFF
3.439941083, 0x00, 0xFF
3.440000333, 0x00, 0x9C
3.4452995, 0x00, 0xA5
3.445421917, 0x09, 0xFF
3.445485333, 0x4E, 0xFF
3.44555175, 0x00, 0xFF
3.44561825, 0x00, 0xFF
3.445684667, 0xF5, 0xFF
3.445751083, 0x01, 0xFF
3.445817583, 0x09, 0xFF
3.445884333, 0x64, 0xFF
3.445951333, 0x00, 0xFF
3.446018333, 0xFF, 0xFF
3.446085333, 0xFF, 0xFF
3.4461535, 0x7B, 0xFF
3.688324083, 0x00, 0xA4
3.688379333, 0x00, 0x03
3.68843675, 0x00, 0x40
3.688496083, 0x00, 0x00
3.6885555, 0x00, 0x01
3.68862825, 0x00, 0x03
3.6886875, 0x00, 0xE5
3.689418333, 0x00, 0xA4
3.6894735, 0x00, 0x09
3.689530917, 0x00, 0x4E
3.68959025, 0x00, 0x00
3.689649667, 0x00, 0x80
3.689708917, 0x00, 0xFF
3.689768333, 0x00, 0xFF
3.68982775, 0x00, 0xFF
3.689887083, 0x00, 0xFF
3.6899465, 0x00, 0xFF
3.690136417, 0x00, 0xFF
3.690195833, 0x00, 0xFF
3.690255083, 0x00, 0x9C
3.695553917, 0x00, 0xA5
3.695676333, 0x09, 0xFF
3.69573975, 0x4E, 0xFF
3.695806167, 0x00, 0xFF
3.695872583, 0x00, 0xFF
3.695939083, 0xF5, 0xFF
3.6960055, 0x01, 0xFF
3.696072, 0x09, 0xFF
3.696138667, 0x64, 0xFF
3.69620575, 0x00, 0xFF
3.69627275, 0xFF, 0xFF
3.69633975, 0xFF, 0xFF
3.696407917, 0x7B, 0xFF
3.938578583, 0x00, 0xA4
3.938633917, 0x00, 0x03
3.93869125, 0x00, 0x40
3.938750667, 0x00, 0x00
3.938810083, 0x00, 0x01
3.938882167, 0x00, 0x03
3.938941417, 0x00, 0xE5
3.939672167, 0x00, 0xA4
3.939727333, 0x00, 0x09
3.939784667, 0x00, 0x4E
3.939844083, 0x00, 0x00
3.9399035, 0x00, 0x80
3.93996275, 0x00, 0xFF
3.940022167, 0x00, 0xFF
3.9400815, 0x00, 0xFF
3.940140917, 0x00, 0xFF
3.940200333, 0x00, 0xFF
3.94039025, 0x00, 0xFF
3.940449667, 0x00, 0xFF
3.940508917, 0x00, 0x9C
3.94580825, 0x00, 0xA5
3.94593075, 0x09, 0xFF
3.945994083, 0x4E, 0xFF
3.9460605, 0x00, 0xFF
3.946127, 0x00, 0xFF
3.946193417, 0xF5, 0xFF
3.946259917, 0x01, 0xFF
3.946326333, 0x09, 0xFF
3.946393083, 0x64, 0xFF
3.946460083, 0x00, 0xFF
3.946527083, 0xFF, 0xFF
3.946594083, 0xFF, 0xFF
3.94666225, 0x7B, 0xFF
4.188833417, 0x00, 0xA4
4.188888667, 0x00, 0x03
4.188946, 0x00, 0x40
4.189005417, 0x00, 0x00
4.189064833, 0x00, 0x01
4.1891375, 0x00, 0x03
4.189196833, 0x00, 0xE5
4.189927667, 0x00, 0xA4
4.189982833, 0x00, 0x09
4.19004025, 0x00, 0x4E
4.190099583, 0x00, 0x00
4.190159, 0x00, 0x80
4.19021825, 0x00, 0xFF
4.190277667, 0x00, 0xFF
4.190337, 0x00, 0xFF
4.190396417, 0x00, 0xFF
4.190455833, 0x00, 0xFF
4.19064575, 0x00, 0xFF
4.190705167, 0x00, 0xFF
4.190764417, 0x00, 0x9C
4.196062583, 0x00, 0xA5
4.196185083, 0x09, 0xFF
4.196248417, 0x4E, 0xFF
4.196314917, 0x00, 0xFF
4.196381333, 0x00, 0xFF
4.19644775, 0xF5, 0xFF
4.19651425, 0x01, 0xFF
4.196580667, 0x09, 0xFF
4.196647417, 0x64, 0xFF
4.196714417, 0x00, 0xFF
4.196781417, 0xFF, 0xFF
4.196848417, 0xFF, 0xFF
4.196916583, 0x7B, 0xFF
4.439087, 0x00, 0xA4
4.43914225, 0x00, 0x03
4.439199667, 0x00, 0x40
4.439259, 0x00, 0x00
4.439318417, 0x00, 0x01
4.439390833, 0x00, 0x03
4.439450083, 0x00, 0xE5
4.440190417, 0x00, 0xA4
4.440245583, 0x00, 0x09
4.440302917, 0x00, 0x4E
4.440386833, 0x00, 0x00
4.44044625, 0x00, 0x80
4.4405055, 0x00, 0xFF
4.44056475, 0x00, 0xFF
4.440624167, 0x00, 0xFF
4.4406835, 0x00, 0xFF
4.440742833, 0x00, 0xFF
4.4409255, 0x00, 0xFF
4.440984833, 0x00, 0xFF
4.441044167, 0x00, 0x9C
4.446317, 0x00, 0xA5
4.446439417, 0x09, 0xFF
4.44650275, 0x4E, 0xFF
4.44656925, 0x00, 0xFF
4.446635667, 0x00, 0xFF
4.446702167, 0xF5, 0xFF
4.446768583, 0x01, 0xFF
4.446835083, 0x09, 0xFF
4.446901833, 0x64, 0xFF
4.446968833, 0x00, 0xFF
4.447035833, 0xFF, 0xFF
4.447102833, 0xFF, 0xFF
4.447171, 0x7B, 0xFF
4.689341333, 0x00, 0xA4
4.689396583, 0x00, 0x03
4.689454, 0x00, 0x40
4.689513417, 0x00, 0x00
4.68957275, 0x00, 0x01
4.689641583, 0x00, 0x03
4.689700917, 0x00, 0xE5
4.690369583, 0x00, 0xA4
4.69046625, 0x00, 0x09
4.690523667, 0x00, 0x4E
4.690583083, 0x00, 0x00
4.690642417, 0x00, 0x80
4.69070175, 0x00, 0xFF
4.690761083, 0x00, 0xFF
4.6908205, 0x00, 0xFF
4.690879917, 0x00, 0xFF
4.69093925, 0x00, 0xFF
4.690998583, 0x00, 0xFF
4.691179833, 0x00, 0xFF
4.691239083, 0x00, 0x9C
4.69654075, 0x00, 0xA5
4.696663417, 0x09, 0xFF
4.69672675, 0x4E, 0xFF
4.696793167, 0x00, 0xFF
4.696859667, 0x00, 0xFF
4.696926083, 0xF5, 0xFF
4.696992583, 0x01, 0xFF
4.697059, 0x09, 0xFF
4.69712575, 0x64, 0xFF
4.69719275, 0x00, 0xFF
4.69725975, 0xFF, 0xFF
4.69732675, 0xFF, 0xFF
4.697394917, 0x7B, 0xFF
4.939596167, 0x00, 0xA4
4.939651417, 0x00, 0x03
4.939708833, 0x00, 0x40
4.939768167, 0x00, 0x00
4.939827583, 0x00, 0x01
4.939899917, 0x00, 0x03
4.939959167, 0x00, 0xE5
4.940689917, 0x00, 0xA4
4.940745083, 0x00, 0x09
4.9408025, 0x00, 0x4E
4.940861833, 0x00, 0x00
4.94092125, 0x00, 0x80
4.9409805, 0x00, 0xFF
4.941039917, 0x00, 0xFF
4.941099333, 0x00, 0xFF
4.941158667, 0x00, 0xFF
4.941218083, 0x00, 0xFF
4.941408, 0x00, 0xFF
4.941467417, 0x00, 0xFF
4.941526667, 0x00, 0x9C
4.94682575, 0x00, 0xA5
4.946948167, 0x09, 0xFF
4.9470115, 0x4E, 0xFF
4.947078, 0x00, 0xFF
4.947144417, 0x00, 0xFF
4.947210833, 0xF5, 0xFF
4.947277333, 0x01, 0xFF
4.94734375, 0x09, 0xFF
4.9474105, 0x64, 0xFF
4.9474775, 0x00, 0xFF
4.9475445, 0xFF, 0xFF
4.9476115, 0xFF, 0xFF
4.947679667, 0x7B, 0xFF
5.1898505, 0x00, 0xA4
5.18990575, 0x00, 0x03
5.189963083, 0x00, 0x40
5.1900225, 0x00, 0x00
5.190081917, 0x00, 0x01
5.190154, 0x00, 0x03
5.19021325, 0x00, 0xE5
5.190944167, 0x00, 0xA4
5.19099925, 0x00, 0x09
5.191056667, 0x00, 0x4E
5.191116083, 0x00, 0x00
5.191175417, 0x00, 0x80
5.19123475, 0x00, 0xFF
5.191294083, 0x00, 0xFF
5.1913535, 0x00, 0xFF
5.191412917, 0x00, 0xFF
5.19147225, 0x00, 0xFF
5.191662167, 0x00, 0xFF
5.191721583, 0x00, 0xFF
